Player,G,GS,PA,AB,H,1B,2B,3B,HR,SB,CS,BB,HBP,SH,SF,TBp,TBp / PA,,,
Isiah Kiner-Falefa,58,57,228,211,59,49,4,3,3,8,5,14,2,0,1,98,0.429824561,,,
Kolten Wong,53,48,208,181,48,41,4,2,1,5,2,20,4,2,1,89,0.427884615,,,
Stephen Piscotty,45,44,171,159,36,25,6,0,5,4,0,9,1,1,1,73,0.426900585,,,
Justin Smoak,36,31,132,119,21,9,7,0,5,0,0,10,2,0,1,56,0.424242424,,,
Bryan Reynolds,55,52,208,185,35,20,6,2,7,1,1,21,1,0,0,88,0.423076923,,,
Tommy Edman,55,54,227,204,51,38,7,1,5,2,4,16,5,0,2,96,0.422907489,,,
Jake Cave,42,29,123,113,25,16,3,2,4,0,2,5,5,0,0,52,0.422764228,,,
Kris Bryant,34,34,147,131,27,17,5,1,4,0,0,12,4,0,0,62,0.421768707,,,
Shogo Akiyama,54,47,183,155,38,31,6,1,0,7,3,25,2,0,0,77,0.420765027,,,
Jonathan Villar,52,48,207,185,43,36,5,0,2,16,5,19,0,1,2,87,0.420289855,,,
Carson Kelly,39,35,129,122,27,17,5,0,5,0,0,6,1,0,0,54,0.418604651,,,
Andrelton Simmons,30,30,127,118,35,28,7,0,0,2,0,8,1,0,0,53,0.417322835,,,
Adam Frazier,58,54,230,209,48,34,7,0,7,1,3,17,3,1,0,95,0.413043478,,,
Nick Madrigal,29,29,109,103,35,32,3,0,0,2,1,4,2,0,0,45,0.412844037,,,
Danny Mendick,33,29,114,107,26,18,4,1,3,0,1,6,0,0,1,47,0.412280702,,,
Dylan Carlson,35,32,119,110,22,11,7,1,3,1,1,8,0,0,1,49,0.411764706,,,
Jorge Polanco,55,53,226,209,54,42,8,0,4,4,2,13,1,2,1,93,0.411504425,,,
Tyler Naquin,40,32,141,133,29,16,8,1,4,0,1,5,1,0,2,58,0.411347518,,,
Javier Baez,59,57,235,222,45,27,9,1,8,3,0,7,4,0,2,96,0.408510638,,,
Victor Robles,52,51,189,168,37,28,5,1,3,4,1,9,9,1,2,77,0.407407407,,,
Eric Thames,41,35,140,123,25,17,5,0,3,1,0,14,3,0,0,57,0.407142857,,,
Evan White,54,52,202,182,32,17,7,0,8,1,2,18,1,0,1,82,0.405940594,,,
Joe Panik,41,32,141,120,27,20,6,0,1,0,0,20,1,0,0,57,0.404255319,,,
Yadier Molina,42,42,156,145,38,32,2,0,4,0,0,6,3,1,1,63,0.403846154,,,
Marwin Gonzalez,53,51,199,175,37,28,4,0,5,0,0,17,3,0,4,80,0.40201005,,,
Johan Camargo,35,31,127,120,24,12,8,0,4,0,0,6,1,0,0,51,0.401574803,,,
Ryan O'Hearn,42,31,132,113,22,14,6,0,2,0,0,18,0,0,1,53,0.401515152,,,
Victor Caratini,44,37,132,116,28,20,7,0,1,0,1,12,4,0,0,53,0.401515152,,,
Avisail Garcia,53,50,207,181,43,31,10,0,2,1,3,20,6,0,0,83,0.400966184,,,
Delino DeShields,37,32,120,107,27,22,3,2,0,3,2,9,0,4,0,48,0.4,,,
Gregory Polanco,50,45,174,157,24,11,6,0,7,3,1,13,0,0,3,69,0.396551724,,,
Elvis Andrus,29,28,111,103,20,12,5,0,3,3,1,8,0,0,0,44,0.396396396,,,
Eduardo Escobar,54,53,222,203,43,29,7,3,4,1,0,15,2,0,2,88,0.396396396,,,
Jose Altuve,48,48,210,192,42,28,9,0,5,2,3,17,1,0,0,83,0.395238095,,,
Erik Gonzalez,50,47,193,181,41,24,13,1,3,2,3,8,0,1,3,76,0.393782383,,,
Jose Peraza,34,30,120,111,25,15,8,1,1,1,1,5,3,0,1,47,0.391666667,,,
Luis Garcia,40,36,139,134,37,29,6,0,2,1,1,5,0,0,0,54,0.388489209,,,
Edward Olivares,31,24,101,96,23,17,2,1,3,0,2,4,0,0,1,39,0.386138614,,,
Alex Gordon,50,48,184,163,34,26,4,0,4,0,0,18,3,0,0,71,0.385869565,,,
Shed Long,34,31,128,117,20,12,5,0,3,4,0,11,0,0,0,49,0.3828125,,,
Amed Rosario,46,37,147,143,36,28,3,1,4,0,1,4,0,0,0,56,0.380952381,,,
Josh Naylor,40,26,104,97,24,19,3,1,1,1,0,5,1,0,0,39,0.375,,,
